"sr_no","inclination","ambient_temp","speed","weight","battery_level","battery temperature","time","Battery_rating","charging_cycle","acceleration","battery_current","battery_voltage","humidity"
"16880","23.31","0","0","-143.95","0","20.33","488141","10000","1","0.38","0.78","11.4","0"
"16881","53.25","0","0","-382.57","0","23.65","490112","10000","1","-3.38","0.62","12","0"
"16882","41.77","0","0","22.16","0","22.74","491865","10000","1","-4.86","0.37","11.99","0"
"16883","22.36","0","0","-152.29","0","23.01","493411","10000","1","1.39","0.59","11.99","0"
"16884","18.2","0","0","65.55","0","23.28","495120","10000","1","-0.5","0.68","11.99","0"
"16885","59.25","0","0","-295.24","0","22.46","498260","10000","1","6.9","0.99","11.8","0"
"16886","65.01","0","0","-95.13","0","23.28","500199","10000","1","1.67","0.61","12","0"
"16887","52.94","0","0","173.3","0","20.13","501675","10000","1","-4.58","0.53","12","0"
"16888","33.21","0","0","-312.83","0","23.19","503453","10000","1","-0.65","1.17","11.09","0"
"16889","53.13","0","0","53.11","0","20.61","505308","10000","1","-6.2","0.73","11.68","0"
"16890","24.11","0","0","450.84","0","20.23","509718","10000","1","-2.51","0","12","0"
"16891","32.33","0","0","-619.52","0","20.33","511432","10000","1","1.11","0.42","12","0"
"16892","40.61","0","0","13.44","0","22.28","513544","10000","1","0.86","0.4","12","0"
"16893","35.43","0","0","-627.88","0","23.1","515485","10000","1","6.15","1.29","11.52","0"
"16894","24.19","0","0","59.91","0","22.28","517880","10000","1","-0.15","1.65","10.74","0"
"16895","23.72","0","0","-252.38","0","23.1","519733","10000","1","2.87","1.21","10.96","0"
"16896","26.25","0","0","-426.97","0","22.74","521450","10000","1","4.56","1.2","10.98","0"
"16897","44.35","0","0","-436.58","0","20.23","523387","10000","1","-2.58","0.92","11.24","0"
"16898","22.41","0","0","-334.62","0","20.71","525103","10000","1","-4.97","1.07","11.07","0"
"16899","20.72","0","0","-154.48","0","22.83","528086","10000","1","-2.08","1.56","10.46","0"
"16900","19.37","0","0","-152.06","0","23.1","530829","10000","1","-1.14","0.41","12","0"
"16901","23.03","0","0","-67.4","0","20.8","532077","10000","1","-6.52","0.32","11.99","0"
"16902","69.4","0","0","-69.07","0","20.33","533507","10000","1","-6.09","0.37","11.75","0"
"16903","48.73","0","0","-73.85","0","21.83","535208","10000","1","-0.44","0.44","11.74","0"
"16904","9.28","0","0","-361.84","0","23.19","537860","10000","1","4.11","0.4","12","0"
"16905","12.87","0","0","-408.78","0","21.64","539596","10000","1","-0.08","0.46","11.77","0"
"16906","47.24","0","0","-512.87","0","23.56","580508","10000","1","-3.43","0","12","0"
"16907","68.31","0","0","70.6","0","21.73","582301","10000","1","5.27","2.36","9.67","0"
"16908","-3.22","0","0","-60.45","0","23.28","583936","10000","1","0.19","2.31","9.93","0"
"16909","36.34","0","0","170.01","0","22.37","585317","10000","1","-1.83","0.55","11.7","0"
